source	replies	label
Plumber suing car dealership for $1M after truck he traded in ends up in hands of ISIS: https://t.co/4y3jhm9RyU https://t.co/TH756nbenN	@ABC Will US/NATO stop free flow of materiel from Turkey into Sirya? Or will this add to the belief Daesh serves Western interests there?<EOS>@ABC LOL Too Funny!!!<EOS>@ReverantRevan @ABC Makes u wonder who the dealership got the loot from...hum??😕<EOS>@ABC deck, does that mean the coca cola lorry could soon be seen with missile launchers? Or maybe MacDonalds all day breakfast truck<EOS>@hansgruberdies @ABC He used it for those tough clogs<EOS>@abc damn this so bad 2 hell with  that car dealership<EOS>@zzPopsL @ABC because a lot of the wholesale dealers are Arabic and the send them back to the Middle East.<EOS>@ABC I don't understand people they need to call the name on the side of the truck and threaten them. Is there no common sense<EOS>@ABC 😃😃😃<EOS>	rumour
A penis spray-painted on a $2.5 million Bugatti was just for a prank video. http://t.co/vMUrmB6Gy2 http://t.co/8PZsFhPgEy	“@mazetito: A penis spray-painted on a $2.5 million Bugatti was just for a prank video. http://t.co/Pis1KEbdn1 http://t.co/nQdaQNnjTg”&lt;😱”<EOS>On @mashable: Bugatti Veyron Gold digger surprise prank!! https://t.co/ciRdqfHUNq #SavedYouAClick<EOS>@mashable boo<EOS>@mashable spray can: 10usd cleaning: 250 used social media reach: priceless<EOS>@mashable That is horrible! I would definitely try to find out who did that and press charges! Way to nice of a vehicle!<EOS>@mashable "scum... sub human scum"<EOS>😛 😌 “@mashable: A penis spray-painted on a $2.5 million Bugatti was just for a prank video. http://t.co/ZfFhbUwGSw http://t.co/qncNx1YabL”<EOS>“@mashable: A penis spray-painted on a $2.5 million Bugatti was just for a prank video. http://t.co/xzl2kh8aGU http://t.co/ZaSXgAauEw”<EOS>“@mashable: A penis spray-painted on a $2.5 million Bugatti was just for a prank video. http://t.co/6HFap5XTkN http://t.co/JxSGH4J8aZ”&lt;😱<EOS>@mashable Yeah but the prick in the driver's seat is totally real.<EOS>Ugh “@mashable: A penis spray-painted on a $2.5 million Bugatti was just for a prank video. http://t.co/YdP6CPt8JU http://t.co/MkyPk9Dof3”<EOS>	rumour
Translucent butterfly - beautiful! ' http://t.co/tUok1AFVmP		rumour
A pregnant woman has lost her eye after being shot with bean bag by police in Ferguson: http://t.co/QP37VU7hTK http://t.co/wwCbBnouIH	@THESOURCE @RaniaKhalek Poor girl, How people can be so bad!? May she get better 🙏<EOS>@THESOURCE WOW SMH ☝️☝️ @FergCapone<EOS>@THESOURCE  Mixtape] Big Freeze &amp; G Nice - No Sleep Gang 2 (Reloaded)  http://t.co/GSg1jyLIoL   #dmv #Annapolis #maryland #nosleepgang<EOS>@THESOURCE that's fucked up<EOS>@THESOURCE @RaniaKhalek Tragic<EOS>@y_dohak @THESOURCE you need to get beheaded moron<EOS>@THESOURCE @onekade im betting that she regrets being amidst the chaos. bad choices....<EOS>@THESOURCE why is a pregnant women in a riot in Ferguson???<EOS>@THESOURCE You guys are known for making people sad &amp; angry!<EOS>@THESOURCE @najhakeem So what, she is just another black girl,who cares about blacks in USA.To white's, blacks were slaves and still are.shm<EOS>@THESOURCE maybe she shouldn't have been in the middle of the riot! I sure don't feel sorry for her!<EOS>@THESOURCE Petty<EOS>TW “@THESOURCE: A pregnant woman has lost her eye after being shot with bean bag by police in Ferguson: http://t.co/QXFmvjjejv ”<EOS>@THESOURCE @onekade Fred Sanford "YOU BIG DUMMY "<EOS>@THESOURCE mother fucking police. Land of the free more land of the nazi. Obama listen to your people<EOS>@THESOURCE : vito a m, why for ?<EOS>@THESOURCE the question is why can the police get away with anything???<EOS>@THESOURCE police brutality at its best.<EOS>@THESOURCE she shouldn't of been out  there protesting.<EOS>@THESOURCE 😔😔😔🙏🙏💪<EOS>@THESOURCE but did she die ?<EOS>@THESOURCE @austenscott44 probably shouldn't have been there to riot<EOS>@xgil4x4 @THESOURCE What difference does it make dip shirt...<EOS>@THESOURCE maybe don't go to a violent protest if you're pregnant?<EOS>@THESOURCE Shouldn't of been rioting/looting<EOS>@THESOURCE I'm thinkn this is possibly fake<EOS>@THESOURCE @RaniaKhalek you should ban this shit. In Spain several people have lost their eyes or even die because of that<EOS>@THESOURCE @LionelMedia Police suck! Criminals with a badge<EOS>@THESOURCE I don't know why he drove toward them. Shooting the tires &amp;not gas tank would've been the better course of action God bless them<EOS>@THESOURCE  WE PRAY THE SISTER RECOVERS FAST!<EOS>@MrDoodyHead @VisionPoet how can you have a protest if you leave when someone tells you?<EOS>@THESOURCE why would you be outside in a hostile environment priorities f***** up<EOS>@THESOURCE http://t.co/XyWfGsiNXG<EOS>@ChrisSB_Fallon @THESOURCE Stop blaming the victim.<EOS>@y_dohak that's why everyone tries to come to America?<EOS>@THESOURCE So she didn't have enough sense to NOT go to a place of conflict while she was pregnant? Child endangerment methinks. @the_N0<EOS>@jaygnz @THESOURCE yep she was shot with a bean bag round when her ex con boyfriend tried to run down police officers  with his car. #Sad<EOS>@THESOURCE don't wanna lose an eyeball?? #stayhome #putbabyfirst #badmommy<EOS>@THESOURCE @OpFerguson how about child endangerment for knowingly attending a potential volatile even while PREGNANT!!!<EOS>@THESOURCE #classactionlawsuitagainstthepolice<EOS>@THESOURCE shouldnt have been in the riot then<EOS>@THESOURCE  http://t.co/r5ipuKjx3x #PharrinXchange #pharrinxchangeboyz #ShatterMirror<EOS>@THESOURCE I guess that's PROGRESS. They didn't KILL THEM! #PIG #BASTARDS<EOS>@MrDoodyHead @THESOURCE victim blaming?<EOS>@THESOURCE @TjatteHedlund police are out of control.they kkknow they wont be arrested so they attackkk and kkkill without thinking<EOS>@THESOURCE stay inside<EOS>@THESOURCE @RaniaKhalek those effing bastards<EOS>@THESOURCE lmao 😂<EOS>@ForQ2 @xgil4x4 @THESOURCE jesus...that's a 10 on the derpitude scale!<EOS>@THESOURCE hey im pregnant and i know riots aren't safe. I'm still going tho.<EOS>@THESOURCE why were they there in the first place??  Pregnant riding around lol lame.   Poor thing stay with your kids.   Boyfriend???<EOS>@THESOURCE @ThyNikkuhBraelo   That's dumb, it's like you're pregnant. Wtf are you doing out and about while riots are going on lol<EOS>@THESOURCE maybe you should stay home with your baby instead of driving at cops in a riot smh<EOS>@THESOURCE @Sonichu1 and why is a pregnant woman at a riot where people are firebombing buildings and looting?<EOS>@THESOURCE she has 3 left<EOS>@THESOURCE @RaniaKhalek how awful<EOS>@THESOURCE Any ideot that gord to a roit pregnet, enuff said,  whers the DCF , save that child from that dope !!!<EOS>@MrDoodyHead so it's her fault she exercised her 2nd amendment right?<EOS>@THESOURCE this is some sad shit, when is it going to end!!!<EOS>	nonrumour
hi everything!! :) ok, hi everyone! jadi, berikut merupakan sedikit informasi untuk mengetahui what is covid-19? seperti yang kita tahu, ini merupakan virus yang paling baru d temukan,dan saat ini kita tengah di masa pandemi. don't underestimate it! lets read✨ https://t.co/0jMMqGcwZH	and here, do/does and don't/doesn't https://t.co/yBFhbNFITQ<EOS>stay healthy everyone!! iya emang terasa bosan dan jenuh, tapi bersyukurlah di masa ini, kita masi bisa berkumpul dengan keluarga yang di rumah aja! kalo kata dokter nahla "untuk yg bs d rmh, d rmh aja, untuk yang belum bisa, tetap jaga jarak minimal 2 meter, jgn lpa cuci tgan" https://t.co/HD63k4I3gS<EOS>	nonrumour
Why Have There Been More Mass Shootings Under Obama than the 4 Previous Presidents Combined? https://t.co/jEeBR7TC95 https://t.co/oVKG80TaqE	@BlissTabitha @HeyTammyBruce Pick one: Bush's fault, NRA, white privilege, cops, hurt feelings, Fox News, intolerance, Christianity, the GOP<EOS>@BlissTabitha because we are precieved as weak with the pantywaist libs in office<EOS>@BlissTabitha And Clinton's and half of W's were under the assault weapons ban, yet their's were higher than Reagan's.<EOS>@BlissTabitha @plasticmoney888 Because he was born on a Tuesday.<EOS>BCUZ OBAMA IS A MUSLIM -- MEDIA U CAN STOP HIDING HIS DIRTY UNDERWEAR- DO UR JOB. ELECT SAMM TITTLE @BlissTabitha https://t.co/rvHPtrJCQK<EOS>.@BlissTabitha  It's because #Obama leads by example. He is completely lawless, so his peeps know that they can act lawlessly without risk<EOS>@BlissTabitha Possibly because Obama is a race baiting fool who encourages shit like this? #blameshannon<EOS>@BlissTabitha @HeyTammyBruce He preaches division and racial hatred. People are seeing "color" again. Sick of him<EOS>@BlissTabitha @HeyTammyBruce Wow!<EOS>@BlissTabitha @HeyTammyBruce more than all previous presidents combined.  Obviously that is what surrendering to terrorism leads to.<EOS>@BlissTabitha you rock Tabitha<EOS>@peddoc63 @BlissTabitha   Also record gun sales(which I like)<EOS>@BlissTabitha @slewis8353 Obama is turning USA into 3rd world country on purpose so we.know how it feels<EOS>@PereReader @BlissTabitha @HeyTammyBruce You forgot the Koch Bros. Eh, maybe you ran out of 140.<EOS>@BlissTabitha @BocaLegend Does it include gangs shootings at each others ?<EOS>@BlissTabitha It's all the racial healing.<EOS>@BlissTabitha Because they know the INJUSTICE Dept. will seldom if ever seek the death penalty. o has released how many terorists from Gitmo<EOS>@BlissTabitha @instapundit When they changed the definition and terrorist acts went up under Bush, it was Bush's fault.Now not Obama's fault<EOS>@peddoc63 @BlissTabitha He did promise change!<EOS>@BlissTabitha @instapundit graph those numbers and you'll have a real "hockey stick"<EOS>@BlissTabitha @HeyTammyBruce Epidemic of prescription anti-depressants and less to do with politics. Interesting stat though.<EOS>@BlissTabitha Because he is enabling  terrorist<EOS>@BlissTabitha @pds0399 more pissed off crazies because of him...<EOS>@BlissTabitha That certainly is "Fundamentally transforming America" just like POTUS wants.<EOS>@BlissTabitha @HeyTammyBruce In a risk of wearing a tin foil hat to bed, it does make one wonder? Rise in social media? :/<EOS>@TheLamarckian @BlissTabitha blood transfusing America more like it.<EOS>@BlissTabitha @TamiDurling global warming<EOS>@BlissTabitha I'm sure its not by design or some MK ultra type thing.... just a coincidence.   Question is, how many more will there be?<EOS>@BlissTabitha @S_Hammerslag His divisiveness and failures are driving us mad...all according to plan. Blood's on his hands<EOS>	rumour
What are the symptoms of COVID-19?   The most common symptoms of COVID-19 are: fever, tiredness, dry cough, and body temperature.  Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. https://t.co/0ExBVjtPP5	Some people become infected but did not develop any symptoms and don't feel ill at the same time.   Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness.<EOS>#IamNaija #Fight2Finish #YakinKawardaCovid_19 #JCINigeria #COVID19Pandemic #BeSafe  Follow us on all social media for daily updates.<EOS>Shin Menene Alamomin Kamuwa da Cutar?   Mafi yawancin alamomin kamuwa da wannan cuta ta covid-19 sune, Zazzabi, kasala, da busasshen tari.  Wasu marasa lafiyar kan samu radadi a jikin su, mura, zubar da majina, kaikayin makogaro da Gudawa.<EOS>Wasu mutanen kan kamu da cutar Amma ba wani alama jin wani ciwon jiki.  Tsofaffi. Da Kuma wadanda suke da matsala ta lafiya Kamar hawan jini, ciwon zuciya, ko sukari sun fi hadarin samun wannan cuta."  #NiNeNajeria #YakinKawardaCovid_19 #JCINigeria #AnnobarCovid_19<EOS>Who can be screened and where?   Basically, anyone with travel history to places  where the viral disease (Covid-19)  has being reported.   if you have also had contact with someone with travel history to any of such places in recent time. https://t.co/hDBENgl6bs<EOS>And, if you notice the symptoms of the COVID-19, do NOT Panic. importantly, do not go to the hospital immediately, just make a call through directly to Centre For Disease Control (NCDC) on their toll free number:  Free  Number: 080097000010 Whatsapp: +2347087110839<EOS>IamNaija #Fight2Finish #YakinKawardaCovid_19 #JCINigeria #COVID19Pandemic #BeSafe  Follow us on all social media for daily updates.<EOS>	nonrumour
How does COVID-19 spread? People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales These droplets land on objects	and have been implicated in gastroenteritis in infants. A novel coronavirus was identified as the cause of a worldwide outbreak of a Severe Acute Respiratory Syndrome (SARS) in 2003. This outbreak caused by the virus is believed to have originated in Guangdong south China.<EOS>It predominantly affected mainly China, Hong Kong, Singapore, and Taiwan. Subsequently, this outbreak spread to neighboring countries in Asia, Canada, and the United States. In humans, several coronaviruses are known to cause respiratory infections ranging<EOS>from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19.<EOS>What is COVID-19? COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019<EOS>What are the symptoms of COVID-19? The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually.<EOS>Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing.<EOS>surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth.<EOS>People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.<EOS>World Health Organisation is assessing ongoing research on the ways COVID-19 is spread. https://t.co/ItmFmb8ghD<EOS>	nonrumour
This cartoon is the perfect tribute to Nathan Cirillo #OttawaShooting  http://t.co/H3L9bHSvSm http://t.co/YbCBtDzBRb	... "@Independent: This cartoon is the perfect tribute to Nathan Cirillo #OttawaShooting  http://t.co/Smbu0eoKX2 http://t.co/jGspJD3CP5"<EOS>“@Independent:cartoon is perfect tribute to#NathanCirillo #OttawaShooting  http://t.co/hrUptLBqGY http://t.co/2Y4xe5INWI” @lg4lg #Ontario RT<EOS>	nonrumour
5G mobile networks do not spread COVID-19 – WHO https://t.co/vVlIaHf6CP https://t.co/0W2YfhGflc	@daily_trust We know 5G can't birth viruses, but it's Detrimental to human health. In a nutshell,"The radiation from 5G kills"<EOS>@daily_trust If there’s a conspiracy and if Covid 19 is a business who will be part of it.<EOS>	nonrumour
12.  What can I do to protect myself and prevent the spread of disease?  Protection measures for everyone!  Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority.	2. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019<EOS>3. The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually.<EOS>4. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing.<EOS>8. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.<EOS>9. Can the virus that causes COVID-19 be transmitted through the air?  Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.  See previous answer on “How does COVID-19 spread?<EOS>10. Can CoVID-19 be caught from a person who has no symptoms?  The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low.<EOS>11. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill.<EOS>13. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks.<EOS>13.(A) However, the situation is unpredictable so check regularly for the latest news.  You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions:<EOS>13.(B) Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.<EOS>13. (C) Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing. Why? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus.<EOS>13. (C)...  If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease.<EOS>	nonrumour
Soldier shot at National War Memorial in Ottawa http://t.co/Sgmcq7gUzf #cdnpoli #hw	@CBCPolitics Time to get snipers out on the roofs. Take him out, no talking!!!<EOS>RT @CBCPolitics Soldier shot at National War Memorial in #Ottawa http://t.co/I5GY1kEqfq #cdnpoli #hw<EOS>Our thoughts to all those in Ottawa “@CBCPolitics: Soldier shot at National War Memorial in Ottawa http://t.co/WTkR1N0elc #cdnpoli #hw”<EOS>Gunfire inside Canadian parliament; soldier shot at National War Memorial in Ottawa http://t.co/HlfE0oVrN7 #cdnpoli @CBCPolitics<EOS>	nonrumour
Non-essential services shutdown? Can someone explain to me how http://t.co/anrf4KweoX is essential while http://t.co/EXaTOWrdTV is not?	@th3j35t3r @Clarketacular Not to mention why it was essential for the military academies to play their football games...<EOS>@th3j35t3r @RBPundit #WarOnChildren<EOS>@th3j35t3r oil trumps life<EOS>@th3j35t3r it probably depends on how the website maint contracts were set-up and where they're feds or contractors running them. (?)<EOS>@th3j35t3r Seems priorities are really fucked up in DC.<EOS>@th3j35t3r Neither has been updated since the shutdown. One just has a splash page letting us know. Shutdown shouldn't happen, though.<EOS>@RandForAmerica @th3j35t3r my website costs more or takes more time to shut down rather than just let it stay up!<EOS>@th3j35t3r A missing child alert system sounds pretty fucking essential to me.<EOS>@th3j35t3r well of course... This is part of the smoke and mirrors. What can we shut down that will piss off the most people?<EOS>@numillustration @th3j35t3r @tnicholson They do have bandwidth &amp; electricity costs. Plus many gov sites run on AWS cloud at hourly rates.<EOS>@th3j35t3r I suppose we should simply let YOU decide what's essential and what's not? Fuck you, dude.<EOS>@th3j35t3r @dbongino  It comes from the #SpiteHouse<EOS>.@th3j35t3r This https://t.co/mlwzqXBApY<EOS>@th3j35t3r My bud @JayCaruso agrees: https://t.co/UCwdz9cvW2<EOS>MT"@th3j35t3r: Non-essential shutdown? Can someone explain to me how http://t.co/5hsM4aRWBU is essential while http://t.co/8IAzwKkmLs isnt?”<EOS>@th3j35t3r @th3j35t3r Yeah, pull the heart strings, wipe tears, and ask for votes.  Throw all the bums out!!!!  Pissed off and Mad about it.<EOS>@th3j35t3r I have the same question about Camp David staying open.<EOS>Because websites don’t just run on their own.  Someone has to be back behind the curtain or it just shuts off right? @th3j35t3r @tnicholson<EOS>@th3j35t3r @durtgeek probably fuel economy site has a different funding source. Car companies, perhaps?<EOS>@th3j35t3r One has to do with money the other just has to human life. We all know what rules politics nowadays.<EOS>@th3j35t3r or why Michelle Obamas "let's move" food nanny website is still up?<EOS>@RandForAmerica @th3j35t3r Excellent question!<EOS>@th3j35t3r Only 17% of the USG is actually shut down. But Michelle Obama's "Let's Move" site is up and running. Almost other no Fed site up.<EOS>@th3j35t3r @B31tf4c3  it all comes down to when funding was awarded. If the contract to run a site is already paid, it will keep running.<EOS>@th3j35t3r Confused fueleconomy clearly states "may not be updated" in green text for same reason, though 2nd URL went a little more extreme<EOS>	rumour
	nonrumour
