id,text,retweet_count,favorite_count,lang,username,location,description,followers_count,friends_count,label
553586897168392192,BREAKING Both Charlie Hebdo suspects killed as police storm building police sources,362,73,en,France24_en,"Paris, France","🌍 The French international news channel live 24/7 from Paris - Follow us for top stories on #business, #politics and #sports - 🔴 Breaking Alerts: @BreakingF24",334963,1122,0
407205009676587009,The sudden tragic death of PaulWalker reminds us that we shouldnt take even a moment for granted bc it can be over in a blink sosad,102,94,en,gimmemotalk,Global,Actress / Speaker / Host,427152,272878,0
1234517760383815681,What are the symptoms of COVID19,0,0,en,jedgarnaut,Brookfield,Elected Official || Jeopardy Silver Medalist || Amazon Top Reviewer || Multiple Advanced Degrees || Incredibly Humble,2153,3549,0
1257492574140379136,kbssidhu1961 Good morning sir By when can we expect the results of these 6018 cases,0,0,en,JASS_PERFECT,Chandigarh,"Electronics Engineer, Basketball Player, Humerous, Jovial.....Dog lover and adventure freak....
Fun luvin guy....",26,15,0
1238978947863523330,What are the symptoms of COVID19 Please use this as a guide Visit COVID19 Symptoms,2,5,en,andoconmando39,Texas,State Representative for House District 39 • Husband & Father • Firefighter/Paramedic/Flight Paramedic • Aviator • @UTRGV MPA grad #AndoConMando #RGV #TxLege,3945,2740,0
1247278612761501705,attachedstring ReneeFiredup Christi72002967 PassionComp3 RepGalonski realDonaldTrump But SARS and MERS is no,0,0,en,sturgeon_sue,,"Beauty is in the eye of the beholder, show your inner beauty, be kind.  No lists",1697,2678,0
1236283360579813376,Cold Weather and Snow cannot kill the new Coronavirus WHO COVID19,0,0,en,CianSOBrien,"Cork, Ireland",Emergency Management Officer HSE South (Cork & Kerry)| Public Health | @stjohnie volunteer |@phecc Tutor & Examiner| RT/follow≠endorse! personal acc,1364,752,0
1251951403590995968,Because this is a risk however it is another reason to clean hands regularly after using the bathroom and before,0,0,en,COfficialAremo,ɴɪɢᴇʀɪᴀ,"| 𝐀𝐠𝐫𝐢𝐛𝐢𝐳 𝐂𝐨𝐧𝐬𝐮𝐥𝐭𝐚𝐧𝐭
| 𝐃𝐞𝐬𝐢𝐠𝐧𝐞𝐫 
| 𝐏𝐫𝐨𝐠𝐫𝐞𝐬𝐬𝐢𝐯𝐞 𝐂𝐡𝐚𝐩 
| 𝐑𝐞𝐜𝐞𝐩𝐭𝐢𝐯𝐞 𝐏𝐨𝐥𝐢𝐭𝐢𝐜𝐢𝐚𝐧
| 𝐒𝐚𝐠𝐞
| 𝐓𝐞𝐜𝐡𝐢𝐞",1826,734,0
1244879496940937216,MYTHBUSTER Can eating garlic help prevent infection with the new coronavirus Garlic is a healthy food that may ha,3,5,en,ForSnehadeep,,The principal goals of Snehadeep assistance with personal development to both the visually impaired and physically challenged://snehadeep.org/,10,1,0
1245276804929269760,Is COVID19 airborne The virus that causes COVID19 is mainly transmitted through droplets generated whe,0,0,en,hbbiazin,Ethiopia,Working @AAU,103,651,0
1249259653298401281,psepjtem GosinJ yourbabazg what is covid19I come from China hhhha,0,0,en,hhhh08231707,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,50,4,0
1255972449553915906,dedalosgl petropouliotiz Does WHO recommend routine wearing masks for healthy people during the 2019 nCoV outbre,0,1,und,Comrade_Cheapra,Hellas,"Εναλλακτικός ψαγμένος προβληματισμένος συνειδητοποιημένος καραφλομαλλιάς με φουλάρι, αναγνώστης Αυγής και Ελεύθερης Ώρας",87,217,0
677099574855639044,Plumber suing car dealership for 1M after truck he traded in ends up in hands of ISIS,104,80,en,ABC,New York City / Worldwide,"All the news and information you need to see, curated by the @ABC News team. Watch full ABC News broadcasts on @Hulu: https://t.co/w3wQ1O1Szs",17449428,488,1
613114185505996802,GOP candidates lawmakers return donations made by leader of racist group cited in Dylann Roofs manifesto,99,62,en,AP,Global,"News from The Associated Press, and a taste of the great journalism produced by AP members and customers.",15782510,6823,1
1248793918940090368,What are the symptoms of covid19 Are superpower listed because I can hear my gf eat chips 3 doors down now,0,0,en,benkillenit,,Survivor of the crypto crash of 2018 and 22.,66,140,0
1240857808511193088,KnowTheFacts on COVID19 Taking a hot bath does not prevent the new coronavirus disease The best way to protec,75,60,en,WHOWPRO,"Manila, Philippines","World Health Organization @WHO in the Western #Pacific Region, 🏠 to 1.9B in #Asia & #Oceania. See new tweets for updated #COVID19 advice. ➡️ RD @takeshi_kasai",237292,1246,0
1278402935542734850,sh4 NYNJCT continue to trend down in daily new cases even as many other states have either stopped their downwa,0,0,en,BurntOutCase,,First generation Indian-American immigrant.,2958,1971,0
1262449052534349831,ramzpaul What is wrong with this guy We have PLENTY of testing So much testing that sites shut down from lack,0,1,en,ReedRothchild12,,Red Pill/Civic Nationalist/Skeptic,221,94,0
553960736964476928,Police Chief Helric Fredou one of the police officers investigating the case CharlieHebdo commits suicide,240,30,en,vtchakarova,Vienna,Director @aies_austria I Chief Strategic Foreseer I I coined #Dragonbear I #geopolitics I #GlobalSystem I #realpolitik I Vi Veri Veniversum Vivus Vici,77051,5553,1
1224314575639785474,Are antibiotics effective in preventing and treating the new coronavirus 2019nCoV,4,4,en,IFRC_MENA,Middle East and North Africa,الإتحاد الدولي لجمعيات #الصليب_الأحمر و #الهلال_الأحمر في الشرق الأوسط وشمال أفريقيا. أكبر شبكة إنسانية في العالم. سويا #لا_يمكن_إيقافنا,14633,1218,0
1267489635313352704,tumisangndlovu when can we expect the results of todays alcohol spending and how did SAB perform PowerBusiness,0,1,en,RealAbelKekana,Mmakau ,Politics and sports fanatic. Not here to nurse anyone's feelings.RT aren't endorsements. 2 Corinthians 11:4🙏🙏🙏,672,263,0
1242069490784854016,4 The new coronavirus CANNOT be transmitted through mosquito bites,0,0,en,pepesikanteri,,I’m young dumb and broke instead of young wild and free,86,136,0
524936872666353664,More shots fired just off Parliament Hill Police telling everyone to take cover,1180,150,en,CBCAlerts,Toronto,"Breaking national and international news alerts from CBC News, Canada's TV, radio, online and social media news leader.",1499811,364,0
1250066794066444290,We will have some small bottles of Hennessy in the food packs that we will be giving to our people Nairobi Gov,699,1609,en,citizentvkenya,"Nairobi, Kenya",Kenya's Premier TV Station. Breaking News / Entertainment / Your Favorite Local TV Shows. Follow us on https://t.co/tPzCCpxeFt,4120726,166,0
663817239896821760,For everyone who thinks Starbucks red cups are ruining Christmas,1240,1757,en,BuzzFeed,New York,"Brb, taking quizzes 📈 some links may be affiliate 👍 chris evans puppy interview when 🐶",6314594,2926,1
436160836524965891,Nestl USA has issued a recall of Hot Pockets See the varieties affected,217,47,en,CNN,,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",57876096,1104,0
1242836826399870984,What is a coronav rus A miserable pile of gripezinha,0,1,ro,_Diomore,,"Are you hiding or have I abandoned you?
@Thaiscondidaxxx",106,143,0
499683602452717569,Confirmed this is irrelevant RT ksdknews Confirmed MikeBrown had no criminal record Ferguson,783,474,en,nealcarter,United States,Principal of @NuViewConsult. The only black/disabled owned political consulting firm. Host of @TheBanterPubFC #Birdland #GGMU #DCAboveAll,7407,5377,0
528607634099015680,AnimalOfTheDay The First Afghan Fanged Deer Was Seen in More Than 60 Years,207,249,en,Discovery,United States,We'll bring the 🌍 to you.,9162590,597,0
1223614129832775682,WHOPhilippines WHOMongolia takeshikasai DOHgov KKMPutrajaya KoreaCDC WHOKobe AMRCRCJAPAN MHLWitter,279,449,en,WHOWPRO,"Manila, Philippines","World Health Organization @WHO in the Western #Pacific Region, 🏠 to 1.9B in #Asia & #Oceania. See new tweets for updated #COVID19 advice. ➡️ RD @takeshi_kasai",237292,1246,0
1244372697674629122,Myths about the Corona Virus 1 Taking ice cream and other cold foods do not facilitate or aid the onset of the di,1,2,en,Hygeeinitiative,"Abuja, Nigeria","We are creating an interesting, engaging, and functional learning experience for every child",11,23,0
1254455485664833538,AlterEgo1488 TrinTurambar4 GandalftheWhi19 My question is why do we need to have a desert cult faith anyway Re,0,0,en,wtflegs,,walking on broken glass,0,5,0
497073936077959169,Breaking Justin Bieber thwarts bear attack,64,62,en,TMZ,"Los Angeles, CA",Breaking entertainment news as it happens.,5897138,927,1
1255538464398983168,DondaBella IAMGUKS DBESA Other actually don t give a fuck about diseases because black people have been sufferi,0,0,en,Thandowie_11,Sandton ,Dope MUA based in Sandton @lionessbeautyhub🌸🌸🌸🌸🌸🌸🌸Main IG acc: @luh8_11,2413,2083,0
387010299536355328,As a former federal agent I find this story hard to believe even for this White House SpiteHouse,75,15,en,dbongino,Planet “Banned By YouTube” ,Find Me On Truth Social @dbongino,2668453,1132,1
1251152178468642817,dclarke1984 NiallBoylan Well then why do we need it Doesnt the average router in everyones house carry a fre,0,0,en,RiseUpEire,Republic Of Ireland,Irishman,155,172,0
1272543530653831169,TFL what should I do if I can t wear a mark for medical reasons do if I need to use public transport I don t want,0,0,en,heathercomplain,,,4,2,0
1250218770628349952,2 Are antibiotics effective in preventing and treating the new coronavirus COVID19Malaysia,0,0,en,ucoptempe,"Bera, Pahang",#prinsip Rukun Negara #prinsip dalam hidup,411,2390,0
524941041301225472,A Canadian soldier has been shot at the countrys National War Memorial near Parliament,257,67,en,CBSNews,"New York, NY","Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus",8603960,591,0
1268246659940732929,Acosta Physical ready okay When can we expect psychological tests results,11,75,en,arendsen_a,"Amsterdam, Nederland",Disbelief ends democracies. I will never accept QAnon conspiracies and will fight it whenever I can.,315,654,0
1251532038194282496,BCJ166 justinamash Right But individual responsibility requires individual responsibility These idiots are advo,0,3,en,AntonioBuehler,"Austin, TX","He/him. Anti-oppression. Liberation focused. Abolish police, prisons, and schools: @AbromeEd @PeacefulStreets. #EmancipatedLearning #ACAB #mutualaid 🖤❤️↙️↙️↙️",3963,435,1
633961125126668288,A new CNNORC poll finds HillaryClinton ahead of realDonaldTrump by just 6 points,292,328,en,CNNPolitics,"Washington, DC","Political news, campaign stories and Washington coverage from CNN Politics.",4367703,338,1
1275041557670793216,What does WHO recommend for tobacco users Given the risks to health that tobacco use causes WHO recommends quitti,0,3,en,saeedhu,Maldives,| Public Health and Nutrition | Views Are Absolutely My Own | Born in Maldives.,3161,2603,0
1250403885866299392,5G mobile networks DO NOT spread COVID19 ScimitarSS,0,0,en,trilobite_1970,Bengaluru/Bangalore,MSc/Technical Writer and Editor/ Ex-Journo #Writing/#Editing/Rock music/Literature/Libraries. Not a Millennial.,543,585,0
1273503387909308423,jidesanwoolu Which individuals should wear medical masks in the context of COVID19 according to WHO 1 Health,0,0,en,greaterelo,"Lagos, Nigeria",I am a Child of God. Born again and filled with the Holy Spirit. I am an activist! Certified Christ Embassy Member!,141,288,0
1225466811304439808,Q Is it safe to receive a letter or a package from China A Yes it is safe People receiving packages from Chin,6,3,en,PIADesk,Philippines,The Official Twitter account of the Philippine Information Agency. We bring you information from all parts of the country.,48878,416,0
1254541858769973251,MadSquire NolteNC jkcjaycee Contaminated with what Again what is covid19 Im sure you had to dig deep to th,0,0,en,USA_Proud_USA,USA,"A great civilization is not conquered from without until it has destroyed itself from within.  Ariel Durant
#1A, #2A , #PreserveUSA",448,491,0
407279190913069056,Fast Furious franchise responds to Paul Walkers death,137,146,en,Cosmopolitan,"New York, NY","3 parts cranberry, 2 parts vodka, .5 part triple sec, .5 part lime.",1581925,2473,0
519935535083565056,Someone spray painted a penis on a 19m Bugatti Veyron,190,93,en,dailyedge,Ireland,https://t.co/xX4wKx8ySy | Instagram: dailyedge,46885,245,1
1267269182166405121,DarterBaby JSteinWaPo I mean what do you think is the end result of these protests,0,0,en,StuShoes18,,"SaaS Sales, love sports (Giants, Niners, Warriors, golf), great music, my wife, friends and family, and traveling. Tweets/opinions are my own.",883,3088,0
1247196379325370371,Myth busters in the above linkWorld Health Organization Can eating garlic help prevent,0,2,en,DawnaMughalPhD,U.S.A.,"RegisteredDietitianNutritionist,Fellow|PennState|Forever Learner,proud IMG|MyCup:Flavors of science,nut,food,art, edu & life.I share it 4 fun,Not 4 Rx or$$🍎",2095,1810,0
1248606193335119877,The more conservative news you watch the more likely you are to be misinformed about basic information when it com,3,7,en,thatchriswalker,"Madison, WI","Millennial muckraker. Wisconsinite, which is obvious after reading my cheesy tweets. News writer @Truthout (tips and such: chris at truthout dot org).",12171,13266,1
1242224608427868165,What is a coronavirus Stay uptodate here FactsNotFear,5,9,en,dailyblastlive,Everywhere,DBL discusses the trending news and entertainment stories of the day. Live on TV. Live streaming. Make DBL Your Daytime Destination. Follow to DM.,18057,2723,0
504106473467944960,This audio tape played on CNN seems to corroborate witness accounts that DarrenWilson kept shooting after MichaelBrown tried to surrender,121,34,en,lisabonner,"Atlanta, GA",Production | IP Attorney Author 🚨📖BOOK: The LegaliTEAS of Entrepreneurship AVAILABLE NOW 🚨👇🏾🏆Nom Film Producer 🌍84 countries SCUBA diver 💕💚,3103,1229,0
1232830179245883393,1776Stonewall Coronavirus How does Covid19 spread These new studies offer clues Vox,1,1,en,Laura68737097,"Arizona, USA",Christian and conservative from Arizona. Nurse. We should all be praying for Trump and America. No DMs. https://t.co/SlqdcOJB5j,896,601,0
1243781972251381760,You can ask these questions on Covid19 What is a coronavirus What is a novel coronavirus Can humans become infec,0,0,en,BajajAllianz,Pune,"Let’s talk about you, your insurance & all things that matter because, #YouAreSpecial",99306,18,0
1244507540810948608,Are hand dryers effective in killing the new coronavirus No Hand dryers are not effective in killing the 2019nCo,5,1,en,JahanAraazaib,,‏‏,1870,770,0
553103772852191233,The Image That Everyone Is Sharing isnt By Banksy But Its Awesome CharlieHebdo,193,91,en,dandemoustier,"Brussels, Belgium","Independent Cameraman - Filmmaker. ex BBC, ITN, AJE.  Now trying to get a life.",2676,847,1
1222700579786375173,QA with the WHO Q Are antibiotics effective in preventing and treating the new coronavirus A No antibiotic,0,0,en,Volunteers4U,EARTH,We provide free medical and dental care to those residing in underserved and impoverished areas around the world!🌍,10055,7878,0
1274226114517336066,Can we just make a decision about whether we want to pursue eradication or herd immunity What is our actual end go,0,1,en,con1094,"Melbourne, Victoria",Solicitor. Political junkie. Stock Market follower and Trader: tweets are not advice. DYOR.,648,2148,0
656834590779289600,10 Back to the Future predictions that came true,133,85,en,Money,,"Make the most of it 💰
Sign up for our newsletters 👉🏽 https://t.co/UB0VmyNXiK",413611,1456,1
1269512067809189890,ProfMarciniak Now I understand that the dose of HCQ used in the recovery trial was based on the IC50 in vitro,1,2,en,88549439,LA,Pathologist PGY1| Clinical Pharmacology | #covid4md #MedTwitter | my tweets ≠ medical advice | 🍄🍀🍄,461,746,0
524976963862429697,The Canadian soldier shot at the War Memorial has died officials reported OttawaShooting,1032,310,en,CNN,,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",57876100,1104,0
612438528803213312,After police arrested DylannRoof they went and bought him Burger King because he was hungry CharlestonShooting,514,132,en,tchopstl_,,None but the weak crave to be better than. Strong men are satisfied with their own strength. Lillian Smith,4638,1394,1
517003426832453633,Lets please remember the victim in the OK beheading Colleen Hufford RT Victim was loving grandma via nypost,159,84,en,MonicaCrowley,"New York, NY",Forever a happy warrior. Honored to have served as Assistant Secretary of the Treasury. 🇺🇸 Isaiah 55:8-9. https://t.co/Hg2EBRUNEq,589157,1068,0
1250821963385376768,livindave Many have heard of Covid19 and some people have few knowledge about it Q1 What is Covid19,0,2,en,BraceuptheYoung,"Ogun, Nigeria","Educating and mentoring the young population to become innovative and Accountable leaders. 
For contacts: ✉ Braceuptheyoung@gmail.com",271,361,0
